week,Africa,Asia,Europe,North America,Oceania,South America
2020-12-14,-0.5460433425966651,13.607179389424916,-67.29456219869815,-9.416937298474316,0.6420639505763568,-5.346155454895623
2020-12-21,-2.1508900879812263,3.9056775442784613,42.211034036229854,-27.798274641967083,-12.605804866455447,-22.054618475839717
2020-12-28,-1.87812469634347,22.83481428556466,-32.42270070717519,-18.401372604790353,-7.668757988917475,-1.3311779773801469
2021-01-04,-2.4263765577535867,38.35566583370504,-118.33698820400559,-29.189821050571542,-14.91058297824265,1.7323625389986717
2021-01-11,-2.1047757344618714,9.481911577251111,-115.39388837893895,-22.446214899663772,-7.022976209667848,0.8043929445095442
2021-01-18,-2.0561278239157557,4.876121493284963,-128.60666520222193,-25.084781125306467,-8.815669740685994,1.6386854343688775
2021-01-25,-1.9181609647518445,-2.3372146083007372,-107.09066958552876,-29.088377291196178,-15.442172812969321,0.2743655329946932
2021-02-01,-1.6709554881657331,2.5178643177680584,-119.95589481809351,-23.024971132313667,0.18630966471322116,0.19920614161273412
2021-02-08,-1.2450654360648095,-1.9926594152539039,-55.956295647755574,-20.413188242625985,-3.001555648478795,2.538352494371553
2021-02-15,0.16200944117820174,-2.3335381834796323,-38.30745507271124,-14.884496298598636,-7.446435965906648,3.4408456649155976
2021-02-22,-0.12021683072191895,-2.6567640148640344,-22.767710240996045,-14.77852624218215,-8.518003922875724,6.127848727701144
2021-03-01,-0.24675448327958174,-2.445638840455679,-21.82572831843516,-19.791304234839004,-9.10128078754353,4.891683214303539
2021-03-08,-0.40809773351895656,-2.38468690232488,-41.221914908715824,-21.576132204844846,-12.574698246369403,4.357165129515623
2021-03-15,0.04491146933605076,-2.378713087361408,-53.10410172068547,-26.675606333741364,-15.715238570939194,3.637582135105287
2021-03-22,-0.8571764254462483,-2.0479535188174616,-59.20782105794317,-31.72876622999022,-21.911359245527933,3.554536589900035
2021-03-29,0.2466996407804464,-2.645095915143198,-67.83394765413767,-15.34094178294829,-20.845947764304682,5.904315671329815
2021-04-05,-1.0380659017117204,-2.4665676663745977,-96.778984075708,-24.24819810789539,-24.03425273778031,8.17610528836006
2021-04-12,5.4657432361999785,-3.30144351476201,-91.87251247670841,-29.48042710555085,-21.713262412253297,9.213241631871249
2021-04-19,3.0857678808788407,-3.2810806686510894,-104.93126938818351,-23.08477991278875,-21.09486195031832,10.50401443402162
2021-04-26,3.9170134227017774,-3.1304018607801503,-111.81874251244155,-31.002358704727765,-21.550655226445883,8.470039986782968
2021-05-03,1.0449634807404715,-2.4793103878907807,-142.78083178327063,-36.64181291630727,-23.94076087278624,3.4550755286016646
2021-05-10,-0.6034575773105567,-2.10591165073944,-148.67221967417004,-34.867810821853006,-24.154543037177817,7.071730615380627
2021-05-17,1.0511317971226697,-0.00040079648230665504,-166.38535056803988,-24.77425304743252,-15.311748675989003,12.004417437534968
2021-05-24,-0.006882378326511875,-0.12416861254461857,-166.90667631697627,-24.1814681321952,-16.304932011268452,11.05683112317238
2021-05-31,0.5611825688112565,-2.897289858951055,-134.84311173379413,-26.478986100440906,-17.937749739972702,13.938348280928714
2021-06-07,0.9170538643159797,-3.3527597786079166,-111.71793979408179,-20.346183389963006,-12.653211863962255,16.188783424816712
2021-06-14,7.048292646629601,-3.681030499595643,-110.7633892384182,-21.128496664217078,-12.342367691574381,14.095511804701895
2021-06-21,6.60104384175459,-3.853449042309686,-94.5724050094044,-16.542730822019397,-10.074502374443986,14.99398358474186
2021-06-28,6.4931030932006255,-3.630312897120211,-105.99803490046956,-14.431228096474614,-9.996559647459156,9.808897090274089
2021-07-05,11.037181726536021,-4.351099191806249,-99.5594542742898,21.838855831006153,-2.8639290880545376,6.833579241367062
2021-07-12,15.308761734757514,-4.060495078253089,-78.7188128919994,73.90306790855446,-0.548286316563396,3.3860041296872456
2021-07-19,14.691283927908284,-0.3285843574046918,-56.36415003690095,2.09694179670781,-0.23200259563964556,1.0576514444748746
2021-07-26,18.742925112577442,4.728925141275166,-63.95404594642848,-0.4200122030057258,0.2627212379667227,-0.9208809638944614
2021-08-02,20.749726559243932,8.919704887128642,-71.54250814164658,-13.87320744499577,17.285406550728542,-5.529876618858356
2021-08-09,15.320565587479175,10.15648798736342,-59.48217915651408,-10.867795560136482,92.16532120877014,-6.967278221947799
2021-08-16,4.74331579755097,9.85337272322479,-45.77946584060211,8.939740546648416,114.29815718205761,-7.482807568301521
2021-08-23,7.3235697964484885,10.12712313896197,-48.577910793386955,-0.17116158423788147,183.7913090796964,-9.753687092961375
2021-08-30,9.134001070970674,4.279299669742496,-50.73328786321121,36.27220021785146,0.09133567468245289,-5.703827857007732
2021-09-06,6.3451000333961645,4.257676750743222,-32.48977294137364,35.4146515679024,0.08563509206297065,-3.5407672886008514
2021-09-13,13.734227294940245,4.181991758233519,-40.66694292456226,33.46762392213122,0.08725483370298719,-5.473836173141682
2021-09-20,7.359074089003522,9.727203006120051,-40.98906792292198,20.362441169912604,35.79153232666414,-7.734708128529757
2021-09-27,6.4752074752953055,9.232548705033388,-8.06120025628585,28.56540755161595,25.142369209640687,-5.393416858208387
2021-10-04,4.148277517018687,7.609815710112743,-1.2121899201986892,16.539721827599337,8.455550622458981,-3.1792324748987397
2021-10-11,5.7112418704975445,7.638794295975712,9.29578395859263,0.7667927439476933,6.946043326950482,-5.340095465258681
2021-10-18,4.427440858340386,7.501491763170135,21.85474024012735,6.060819512062721,0.44652508288344944,-5.416453950276509
2021-10-25,4.23643657803978,-1.445941150947931,34.30482663592489,12.628663303623396,-7.5177042060502215,-7.476249104608055
