date,AFR,AMR,EMR,EUR,SEAR,WPR
2020-12-19,-0.0017682732024691444,0.4956435913442464,0.028021996851430142,2.9516335736533077,-0.07522812841301561,0.9137266181689002
2020-12-20,-0.0017682732024691603,0.49564359134424396,0.02802199685142922,2.951633573653294,-0.07522812841301595,0.9137266181688958
2020-12-21,-0.0017682732024691557,0.49564359134424574,0.02802199685142957,2.9516335736533046,-0.07522812841301593,0.9137266181688988
2020-12-22,0.07405672208853273,2.1469888744491508,2.8630938565321093,7.077121691242578,2.040188405638767,1.2228838570829061
2020-12-23,0.07421773105309998,2.9223755354970016,3.005147059846932,11.49017327346699,2.0072597572941584,2.5543416268761217
2020-12-24,0.07411152706301065,2.4109185648442857,2.9114465815065866,8.579256556730499,2.028980000336859,1.67609159795482
2020-12-25,0.07411524265450031,2.428812103176151,2.9147247323522993,8.681096208627967,2.0282201084519724,1.7068175464885127
2020-12-26,0.07410161881903718,2.3632024626259645,2.9027048459179805,8.307684151670587,2.0310063786965236,1.5941557351983353
2020-12-27,-0.005795246239343861,11.407512738623883,1.8159758894634672,65.49527257328204,-0.7208321243873843,19.861705401405995
2020-12-28,0.07869510924856701,15.395566300381784,5.35359621943092,82.34850350100051,1.532202301247773,23.90955200843748
2020-12-29,0.07928066097945428,15.554690815479136,5.401285861434839,83.21555094090574,1.5414423253897098,24.164300188409037
2020-12-30,0.07901027876900833,15.481214065504268,5.37926486800221,82.81518630872282,1.5371756858763919,24.046668607160505
2020-12-31,0.0741351802949389,2.524827753548455,2.9323150926060038,9.227561654939821,2.0241425743060923,1.8716911381197883
2021-01-01,0.0753584461658745,8.415829175683232,4.011564536509799,42.7557282495338,1.7739671147940228,11.987443716020152
2021-01-02,0.07399743685750763,1.861483173211729,2.81078834050659,5.452188674111207,2.052313087824724,0.7326267978253779
2021-01-03,0.071713680941669,13.983321510005572,4.870470074987974,74.77804566265372,1.398523991840942,21.70837065137746
2021-01-04,0.08267103136990633,16.476028787721543,5.6774109954788194,88.23579392251914,1.594942473379247,25.639303404750557
2021-01-05,0.08154767293436238,16.17075453626512,5.585920254683211,86.57239681471135,1.5772158430629404,25.150578836426792
2021-01-06,0.08303383663512733,16.574621634191104,5.706959286949778,88.77301268527306,1.6006675515108952,25.797144251467266
2021-01-07,0.07407935345002001,2.2559769414542306,2.8830608031136213,7.697418616250771,2.035559966806299,1.4100330768445084
2021-01-08,0.0749340277870406,6.371915965401513,3.6371133969640255,31.12295858804157,1.8607667758268243,8.477731386258142
2021-01-09,0.07399743685750773,1.8614831732117314,2.8107883405065937,5.452188674111217,2.0523130878247264,0.7326267978253798
2021-01-10,0.07678350408815894,14.57915835738493,5.145578390725446,77.82368028262331,1.5164320479365105,22.565963381628688
2021-01-11,0.0816374988767864,16.19516486378635,5.593236033650176,86.70540530791315,1.578633299169336,25.189658210869805
2021-01-12,0.0771250133723648,14.746191997562299,5.1864739063984535,78.75290487548666,1.5182225169550247,22.842516039513868
2021-01-13,0.07863897463815617,15.380311640220441,5.349024395400219,82.26538297094633,1.5313164953863114,23.885130272353607
2021-01-14,0.07399743685750773,1.8614831732117314,2.8107883405065937,5.452188674111217,2.0523130878247264,0.7326267978253798
2021-01-15,0.07481158036268581,5.782233895335963,3.5290818416147167,27.766829932442228,1.8858090347355463,7.46515686913203
2021-01-16,0.0739974368575077,1.8614831732117305,2.810788340506593,5.4521886741112136,2.052313087824726,0.7326267978253793
2021-01-17,0.17307923635385816,11.017007756151939,7.74866889571793,50.77130348928388,4.477317315377223,13.201339317304928
2021-01-18,0.24166220106449127,11.316812808525965,10.102569337337345,47.69091462466401,6.448566992336923,11.422698745634047
2021-01-19,0.1486069505279494,10.191043559308428,6.782021366412542,47.767992319523984,3.8087775432224964,12.596401654269943
2021-01-20,0.1200552416178508,9.281108816099007,5.663704276966112,44.57053087044428,3.026191066223175,11.983232154104801
2021-01-21,0.07399743685750765,1.8614831732117325,2.810788340506591,5.452188674111222,2.052313087824724,0.7326267978253824
2021-01-22,0.0744143116099928,3.869067802271642,3.178583973072829,16.87819710163505,1.967056206847352,4.179957384176971
2021-01-23,0.16883350747329853,3.678672017692913,6.3129386431371595,9.195896226499768,4.710145384426258,0.6913971609912027
2021-01-24,0.21349508369013054,10.732071029683485,9.05446661853422,46.32211361985534,5.66135087841003,11.357322951549314
2021-01-25,0.23760484988881064,10.215835363566915,9.772407015553284,41.69225581631579,6.384463644937929,9.660302944283849
2021-01-26,0.14460444716778095,9.988453423825812,6.6120275300673255,46.8916339387497,3.702708661373926,12.381082788693634
2021-01-27,0.12651133112945284,10.199563551866797,6.04218087356482,49.36015794877022,3.1685972995300777,13.350651905983907
2021-01-28,0.005607252359074101,3.0567031467864867,0.7268333201689869,17.04961328323231,0.014166768597705309,5.082392780603333
2021-01-29,0.07469155618561875,5.204221694894056,3.4231882420048354,24.47711941271524,1.910355704730497,6.4726213072310905
2021-01-30,-0.009632912187370968,2.840816373592605,0.17745531560577818,16.882423459221467,-0.4166381445488989,5.220284091614518
2021-01-31,0.07519873200889109,7.646678046494868,3.870653701666779,38.37816570151749,1.8066309563704324,10.666693310384899
2021-02-01,0.07522507494403624,7.7735403027651415,3.8938952542859235,39.100192154747326,1.8012434473574552,10.884535253366359
2021-02-02,0.07523768461313557,7.834265922894692,3.9050203732698248,39.44580719748244,1.7986645887167247,10.98881045283617
2021-02-03,0.07514486799663224,7.586720352842667,3.8582797723551407,38.03981432814711,1.807978087996835,10.56512291685543
