week,AFR,AMR,EMR,EUR,SEAR,WPR
2020-12-14,0.0,0.0,0.0,25.699914855,0.0,0.0
2020-12-21,0.0,15.886055283333334,0.0,158.60487562571427,0.0,0.0
2020-12-28,0.0,17.996823392166668,0.0,161.46221281363268,0.0,0.0
2021-01-04,0.0,23.52393935,0.0,138.41650455005887,0.0,0.0
2021-01-11,0.0,19.603919329738098,7.44150019,122.29936805843572,0.0,0.0
2021-01-18,0.0,18.161416468542857,6.8030532978,100.73316989194201,0.0,0.0
2021-01-25,0.0,15.110072431638093,6.490172040333334,92.25805994260257,0.0,4.843085205
2021-02-01,0.0,11.053590998988096,0.0,81.92038091808078,0.0,4.074313058142857
2021-02-08,0.0,10.47689793728783,7.580424301428572,71.72812873435204,0.85188735,5.410358659583333
2021-02-15,0.0,11.087284344640212,9.257091123119048,71.82752783978236,0.8690251172857143,2.05830908525
2021-02-22,0.0,11.343629322914285,16.125039497666666,78.8655685508427,1.053120819,1.8726681923857142
2021-03-01,0.0,12.59719921970119,21.170036571416667,94.6992973163545,1.1431993297142855,2.543721038571429
2021-03-08,0.0,14.158677757754251,27.814994288185716,96.04374544237028,1.4857642585714286,1.6534068119607144
2021-03-15,2.273295597,14.993929673027893,37.70111554568571,99.2584441817246,2.406122501428572,1.6830124875392856
2021-03-22,0.0,18.265181744829935,39.79148654777381,123.25229287879365,3.7331669805714287,1.2756757225107143
2021-03-29,2.4467522222499998,25.94354627151005,40.64753231934524,100.53154494160016,9.203275346238096,2.189494463269841
2021-04-05,0.313052823,25.15501412957983,47.05341440081905,77.55186991530952,11.95370365295238,2.159293945256085
2021-04-12,9.211293663333334,19.88031498610426,35.733441722509525,71.83870991222899,12.898495916333333,2.9329606215476187
2021-04-19,5.746679656988095,22.485869060370067,33.10107269112,59.828029957020306,16.336108761285715,6.532187654547618
2021-04-26,7.3336765174,17.078353286070293,22.71750843595,53.40746665091947,34.69133852507619,6.2381803320771425
2021-05-03,4.5661402524,16.287047321864883,23.063384632621432,49.38830157064211,39.401864476295245,5.412052233495238
2021-05-10,1.5598382032936509,16.844386651661253,17.91900604190136,39.69288099141811,65.458062748,4.169881774003572
2021-05-17,3.302536175224359,21.077995123108465,21.251068306156085,29.706231205611278,84.90304171345001,5.223652227716666
2021-05-24,2.2459931606848484,21.66843014559432,24.46915548286111,22.897787981434814,61.78871145092143,5.702918757272728
2021-05-31,2.4636801740637755,16.226829382762347,16.41896630514921,18.079488338335263,27.344370770422863,7.030955927657142
2021-06-07,2.375707231660224,15.534129878073259,13.285627739559525,12.883900070396765,20.68012030207143,7.746460678824602
2021-06-14,9.315306015549208,14.470410839604165,10.616258873966666,10.385381929180612,14.68604731694286,9.929296884642858
2021-06-21,8.450707641863493,14.450559361372571,5.7569310431551015,9.126494537672954,12.449801859925003,9.519365486962302
2021-06-28,8.61403974120984,16.830723542446336,8.75255807718006,13.000949012945307,10.245735874285714,10.36398552631044
2021-07-05,13.782130184121428,45.04014566500893,8.355027739643385,20.920143540350065,7.219914735983333,15.727742835157143
2021-07-12,18.193729418387115,82.21718499190345,6.969810004374149,36.23706392531152,8.139048619066667,16.956258662253244
2021-07-19,17.280601662161065,28.6493286860169,5.612497354976191,50.30638836809774,7.4017602522161905,17.715262289032967
2021-07-26,21.8050117410623,25.24033175371992,8.305868314204082,53.211665126689134,8.354758640135715,18.112329738860804
2021-08-02,24.645974677313163,18.15095289521769,9.929155885984127,54.139578464687965,8.390451664382857,30.573621092730768
2021-08-09,17.933984329874168,19.543900804693866,9.277130862669313,55.52062753886291,7.531840992117142,59.34506929539287
2021-08-16,4.354211384025,35.047267281329525,9.692181957955627,66.37999799239942,6.795109922412699,81.72787014848412
2021-08-23,9.418334063560401,30.41255267716174,6.9844501233714285,74.67531562630384,8.553904446410716,101.47575147418651
2021-08-30,10.83015330057283,48.67876987365376,7.407209415247143,71.63669724503008,8.195249748485715,18.433242601448985
2021-09-06,7.0054312042684215,41.02804991180468,8.228403161802381,64.5337730935265,5.812544597972223,18.69176752260714
2021-09-13,16.20532390680196,40.89531196737726,5.986224177223214,66.08425740905291,5.613013507442856,20.14264664072619
2021-09-20,8.974006611140572,42.366003837384824,5.387451350269841,64.44166035159458,5.127011060831746,53.21969661672295
2021-09-27,7.7530495331807145,42.05229318933418,4.814043678553571,62.90137880621075,4.754101123742063,38.794571098836734
2021-10-04,5.151912966955195,28.4098310962196,5.128742205201785,70.92539307209682,3.6078075314,27.569613610032654
2021-10-11,6.945171989268939,15.52363125535348,4.23108286608201,82.71932443871847,4.643087041966666,26.852585417151584
2021-10-18,5.626436175821333,21.385787718546936,4.4069688620291005,105.013901375089,5.13063347322619,19.58492912659011
2021-10-25,5.618814959844246,28.50721932167967,4.8078400645089285,123.98390810075102,4.557340381666666,13.69408821422653
2021-11-01,9.954833227333333,20.98943197117196,5.2794437692375,124.9795365096297,5.745757533180952,9.01974126904762
2021-11-08,7.755972908364583,56.447152542080694,5.176346627761905,131.3791989957551,7.360043697482143,9.71869074532143
2021-11-15,4.957912444517361,38.6232280721381,6.673949995319643,138.06841269068707,4.499307594150793,8.515259787708791
2021-11-22,0.6715592865539682,9.917641713364661,8.699260083421429,133.52234691657935,3.658444550095238,7.986732369456349
2021-11-29,1.3867574335269839,42.40036684687636,8.806260931656086,153.03659946139285,4.019417553619047,5.080886179243197
2021-12-06,3.1853410837103175,26.573782723327636,9.43998416574762,133.10501256541932,5.691192526371429,4.881280212619048
