date,AFR,AMR,EMR,EUR,SEAR,WPR
2020-12-19,0.0,0.0,0.0,30.659740267729507,0.0,0.0
2020-12-20,0.0,0.0,0.0,20.740089439438663,0.0,0.0
2020-12-21,0.0,0.0,0.0,33.988260977554674,0.0,0.0
2020-12-22,0.0,17.2405536873495,0.0,42.40293709546252,0.0,0.0
2020-12-23,0.0,16.436870324066515,0.0,48.115249864799445,0.0,0.0
2020-12-24,0.0,15.96032730417115,0.0,44.3473204804099,0.0,0.0
2020-12-25,0.0,17.632091736128395,0.0,44.47914308277921,0.0,0.0
2020-12-26,0.0,17.505872233561515,0.0,43.9957935407584,0.0,0.0
2020-12-27,0.0,10.540616418442276,0.0,152.73798514368326,0.0,0.0
2020-12-28,0.0,20.93955788502377,0.0,183.73303103451366,0.0,0.0
2020-12-29,0.0,21.555209840740982,0.0,145.38935599235944,0.0,0.0
2020-12-30,0.0,21.27092866135088,0.0,184.8069179733766,0.0,0.0
2020-12-31,0.0,15.969486560245166,0.0,45.1864952378145,0.0,0.0
2021-01-01,0.0,13.398099322419355,0.0,88.58580082087296,0.0,0.0
2021-01-02,0.0,18.763251483891427,0.0,19.80987319850493,0.0,0.0
2021-01-03,0.0,15.698291715729532,0.0,166.12428563740906,0.0,0.0
2021-01-04,0.0,25.11986186271671,0.0,149.643006584667,0.0,0.0
2021-01-05,0.0,25.130983517982695,0.0,145.26985745884676,0.0,0.0
2021-01-06,0.0,25.501317094248,0.0,156.08151593067336,0.0,0.0
2021-01-07,0.0,25.417934043384758,0.0,43.20585770028323,0.0,0.0
2021-01-08,0.0,25.400250982043648,0.0,73.52818877125277,0.0,0.0
2021-01-09,0.0,20.025163299346268,0.0,33.87488749237289,0.0,0.0
2021-01-10,0.0,18.07206465604427,0.0,133.97664902694234,0.0,0.0
2021-01-11,0.0,26.21366896914055,0.0,145.44155151764798,0.0,0.0
2021-01-12,0.0,25.374019174092417,0.0,135.17612008874718,0.0,0.0
2021-01-13,0.0,20.880537680899963,0.0,152.581976578833,0.0,0.0
2021-01-14,0.0,20.260252911102555,0.0,34.632394486285264,0.0,0.0
2021-01-15,0.0,19.936457709366408,0.0,69.18397112101303,0.0,0.0
2021-01-16,0.0,18.849452872166328,0.0,23.272134912483434,0.0,0.0
2021-01-17,0.0,14.591229976632471,7.441500189525708,92.83560377328695,0.0,0.0
2021-01-18,0.0,19.049185902703748,11.119969033211712,84.66350339286492,0.0,0.0
2021-01-19,0.0,17.591338238128998,4.672078243991993,91.19512896392116,0.0,0.0
2021-01-20,0.0,18.484693197245864,2.8539844476874165,88.56569965369533,0.0,0.0
2021-01-21,0.0,18.387177269411765,0.0,19.77679450082521,0.0,0.0
2021-01-22,0.0,20.57118268785528,0.0,55.089579700215154,0.0,0.0
2021-01-23,0.0,15.746061279188298,6.314000161514379,17.85895949090995,0.0,0.0
2021-01-24,0.0,13.264282241864558,9.05523460492082,84.94259259230883,0.0,0.0
2021-01-25,0.0,16.835015719230334,11.79646905044132,76.41920866188204,0.0,0.0
2021-01-26,0.0,15.558909838792125,4.418390737530889,90.27147784660919,0.0,0.0
2021-01-27,0.0,16.46324696706195,3.255656332917497,94.43201297500804,0.0,0.0
2021-01-28,0.0,14.338737605781224,0.0,18.062641556016935,0.0,4.911585595504039
2021-01-29,0.0,16.034055052943955,0.0,50.79519265278714,0.0,4.949960159850073
2021-01-30,0.0,14.788693507254617,0.0,15.67317195555975,0.0,5.206746964259047
2021-01-31,0.0,13.056013330460978,0.0,82.91942553028552,0.0,4.304048100156551
2021-02-01,0.0,14.150428143740907,0.0,83.85402619192215,0.0,3.942896826357897
2021-02-02,0.0,13.356410994647986,0.0,84.30139490835477,0.0,3.7223327415652734
