date,Africa,Asia,Europe,North America,Oceania,South America
2020-12-19,1.5738046936205167e-05,-5.743492689085346e-05,-1.8996337869155257e-05,-3.6823848158163314e-05,2.6019765282152884e-05,-3.069337047947938e-05
2020-12-20,1.5584893894072134e-05,-5.684740027601475e-05,-1.8795248260146356e-05,-3.6431468871084195e-05,2.5766941049603267e-05,-3.0366987014828644e-05
2020-12-21,1.5765091638860965e-05,-5.7542813709517836e-05,-1.9034473807084317e-05,-3.6897980529221764e-05,2.606435594762367e-05,-3.075494692166487e-05
2020-12-22,0.003669507506916578,0.26648372614954524,5.8831576991757126e-06,0.3682253201934365,0.010373219079901286,0.2994583392469623
2020-12-23,0.0036650074809515595,0.26639109703112945,5.8827421547849e-06,0.3680900791973106,0.010364114341314741,0.2993485004541415
2020-12-24,0.003669974771723463,0.2664935122132699,5.883127755006592e-06,0.36823958980779314,0.010374167071744747,0.2994699289600574
2020-12-25,0.003666514357169088,0.2664220007939484,5.882930942767082e-06,0.36813521194809595,0.01036716138879905,0.29938515572139646
2020-12-26,0.0036672808116388774,0.2664378099718274,5.882987616388728e-06,0.3681582902406622,0.010368712628294691,0.2994038993047875
2020-12-27,0.25395985269764537,11.224697940310612,18.66327547887735,10.433122972321035,0.5402603572904038,8.4802585425843
2020-12-28,0.3299245766607994,14.432350969666674,23.92898660618834,13.441402416514368,0.7006724556935173,10.925308589266045
2020-12-29,0.377377823889665,16.207131937620197,26.534266375751468,15.205591862738281,0.7997678277256217,12.358996972342107
2020-12-30,0.3698088351937054,15.90415927869912,26.05820932098331,14.914514555352165,0.7838691329922426,12.122431568318985
2020-12-31,0.4120946931108345,17.697360442735132,29.017690022256232,16.591378711843184,0.8731805644742725,13.485348354361566
2021-01-01,0.33060949906109866,14.46124698680433,23.976383788568942,13.46851473765344,0.7021186776743035,10.947344746333746
2021-01-02,0.14463519466608682,5.71296786226375,8.254314109504996,5.698127213041292,0.3056133189465866,4.631024648916547
2021-01-03,0.36641929683181856,15.975204809879893,26.464583999419943,14.887455936305741,0.7777447901287061,12.100624231301374
2021-01-04,0.4719665861651644,19.98872189209899,32.47337736015695,18.839778357642498,0.9984164222183651,15.312581528174212
2021-01-05,0.4583900198554982,19.414493083791406,31.529256559409927,18.30170683934897,0.9697432898298768,14.87525041642029
2021-01-06,0.48915128483654385,20.71491372487158,33.66635864675742,19.520559783564188,1.0347070878422553,15.865903152452997
2021-01-07,0.47904201466970675,20.410310708464166,33.32712396795931,19.182712814393167,1.013965879320048,15.59141639801368
2021-01-08,0.5068670494777854,21.462723399952793,34.89358755525283,20.22201060348368,1.0721158238596664,16.43602363625174
2021-01-09,0.3826663931971149,16.106673548879147,25.908537716938792,15.259483869061059,0.8094543707227387,12.402522030968704
2021-01-10,0.41472648346434615,17.79261030541457,29.152195540477923,16.687761042013744,0.8786627512704084,13.563671684937376
2021-01-11,0.5090035762371644,21.55295640886981,35.04174094043494,20.306626812375143,1.076627524782847,16.504797469344258
2021-01-12,0.501660834525126,21.24305256010323,34.53322693528653,20.015912943026144,1.0611227244144503,16.268513041611985
2021-01-13,0.4405276899438869,18.751241641365414,30.554726374388746,17.642384050544834,0.932494346654776,14.339450131005373
2021-01-14,0.34426058788654007,14.431528012741763,23.066131493706393,13.717565017367576,0.7281678930424605,11.14924759837597
2021-01-15,0.4420490022342078,18.804078579727623,30.626585933983495,17.696769132666702,0.9356499078329706,14.383642957508574
2021-01-16,0.24323265197759206,10.019428159355137,15.570888622107756,9.659134967129775,0.5143192479422086,7.850543765658438
2021-01-17,0.3845817607692005,16.583163299909288,27.262748771682976,15.522849661643752,0.8152770936693182,12.616915992458384
2021-01-18,0.3667162170723475,15.779989054981892,25.862741615329217,14.795343184655021,0.777370618093185,12.025577817266706
2021-01-19,0.3066371927770759,13.516617801536608,22.499671978033295,12.557984574689101,0.651885345007612,10.207350673926133
2021-01-20,0.35570780844250655,15.352183613496408,25.208619424486628,14.378477668154538,0.7543100357114931,11.686792816806925
2021-01-21,0.23046118156245615,9.463362448959392,14.62890061545148,9.146802666858996,0.48729204227976974,7.434119951211909
2021-01-22,0.35095585732749696,15.156306000346788,24.8930283937019,14.192827113057914,0.7443003123231603,11.535905147023442
2021-01-23,0.21713868103369643,8.881297328623514,13.639710173540177,8.611516519086058,0.4590909940118639,6.999037603356348
2021-01-24,0.34649094737360037,15.0911598457067,24.948661815155592,14.078990058220297,0.7354825979428297,11.443488666890218
2021-01-25,0.31087849974175685,13.695576313118414,22.793247246793918,12.725884997055314,0.6608410125274546,10.343815589128385
2021-01-26,0.3010848881099404,13.282345595567053,22.1153607962125,12.338186997464163,0.6401614717729828,10.028705159394377
2021-01-27,0.3198707341601364,13.990382081704562,23.170802010862594,13.037103846489462,0.6793900620649149,10.59669151503573
2021-01-28,0.21641934647057773,8.851347262377496,13.591128804945672,8.583239316868966,0.4575740076518521,6.976055005924475
2021-01-29,0.31249773083175786,13.763908907228249,22.905360591657043,12.78999010407501,0.6642601189931683,10.395918492413905
2021-01-30,0.19499033628581897,7.915462507504041,12.00119918128664,7.722391782120017,0.4122144887291837,6.276355579244496
2021-01-31,0.30042525073597115,13.254590129567747,22.069948008672995,12.312108632477669,0.6387689471528433,10.007509435797846
2021-02-01,0.3033971748303288,13.379911702510917,22.275416234367036,12.429723851469587,0.6450439501398737,10.10310383564974
2021-02-02,0.29704451622597067,13.111869384727683,21.83570661639905,12.178242778039149,0.6316301023905557,9.898706833793081
