week,Africa,Asia,Europe,North America,Oceania,South America
2020-12-14,0.0,25.699914855,0.0,0.0,0.0,0.0
2020-12-21,0.0,40.93248735142857,276.2772639,15.886055283333334,0.0,0.0
2020-12-28,0.0,57.504471651428574,178.78850300733333,18.28821236,0.0,17.705434424333333
2021-01-04,0.0,79.64125294714286,144.29402971035046,20.39015346142857,0.0,26.65772523857143
2021-01-11,0.0,49.43180678428571,124.50488624985461,17.98342664777778,0.0,22.034658352678573
2021-01-18,0.0,42.53479241318572,101.75438072664069,15.263743630904761,0.0,22.507925725
2021-01-25,0.0,27.74435697892064,93.07238979264952,11.702181144523808,0.0,20.221909362309525
2021-02-01,0.0,38.265617088357146,82.27087942917372,6.558532812714286,0.0,16.672413731830357
2021-02-08,0.0,16.95788514172024,72.29491936287302,6.424881231643809,7.846270168,15.541918819342856
2021-02-15,1.2389808395,14.206847944285716,73.03131071960917,8.222227307838095,1.709829077,14.668605640642857
2021-02-22,0.913497224,12.90649270029881,83.21808861398993,7.612185226928571,0.7342733230416667,16.940795466892858
2021-03-01,0.9630564578333334,15.203666253964286,100.56219957473144,6.764872943804081,2.533771642214286,17.599591333130952
2021-03-08,0.9853804368333332,17.508164697049526,98.47125398127126,9.282282278294218,1.4486172852499999,19.035073237214284
2021-03-15,1.6512601645,19.77472133621688,105.62141188062074,9.363605087361904,1.5446083735357143,20.624254258693878
2021-03-22,1.0733369145,23.251743529994805,127.71855776855494,12.428471531272109,0.7435955119642857,24.101891958387757
2021-03-29,2.0626162506666668,20.825921592719048,107.01032092014462,26.380761217224244,0.9133600971071428,25.256494213959183
2021-04-05,0.8943658116428571,21.679559558445714,86.89204393216994,20.68809341251948,0.32814829789285715,28.855544134163267
2021-04-12,7.27614618305,19.318567845370534,80.16448042293334,12.600865695337697,1.0945325012857143,28.58052314055357
2021-04-19,4.864267078710476,19.092359652008405,64.51761646300999,18.159919031674725,1.0934630954642857,29.515537856999998
2021-04-26,5.7168465313,19.806449058607143,60.5242530595509,10.553215941970695,0.4822351857142857,27.68170147023214
2021-05-03,3.0886984768,23.927674373096494,53.97558794004847,10.320871387334327,0.5621139339285715,25.236311223660714
2021-05-10,1.408466824603896,23.87041166541488,44.99689116900978,11.394644570471428,0.0133516151428571,28.522405397068024
2021-05-17,2.9788219893944445,29.543328481207034,32.732810748728426,16.630896825579367,1.1733976023035715,32.10950312868027
2021-05-24,1.878523064609524,27.878291720126548,25.2685442640971,16.889430715333585,1.111600974457143,30.812106640464286
2021-05-31,2.15363901529958,18.134668106557598,19.794876776502978,9.827536641182737,0.5007366446071428,30.86618305211607
2021-06-07,2.2071167489766914,13.952663212755278,14.332836934153608,8.896992422041352,1.8996160370238098,29.876268258931546
2021-06-14,8.312387501817927,12.804717633465216,11.37377613342734,7.820189577235294,2.591297718952381,27.552068553937502
2021-06-21,7.686903253722143,10.241168106171429,10.146750707721205,8.365372184279366,2.848708198,26.559069085785715
2021-06-28,7.733747913057703,12.398543740255358,13.432069015264286,14.075454860249868,4.877186103938776,23.030078077388392
2021-07-05,12.33734490362535,11.622270691083125,23.194045289105794,52.22719406717517,13.900679767828573,20.767283897321427
2021-07-12,16.55458757127619,11.768918942708334,40.432444585304765,102.69441875798151,14.766746294085715,16.687646867607143
2021-07-19,15.93879712964411,13.198807235528797,56.16547752570521,32.37760699298135,18.4267775737551,14.59743486682143
2021-07-26,20.014845403788094,20.497504234448595,56.54606398489077,29.22024303691791,16.462685314244897,12.696103509285715
2021-08-02,22.183914441432854,24.085531546443335,56.70030180343057,21.180263337748755,39.290424407816325,10.072465433821428
2021-08-09,16.698855347722876,22.528727452159327,57.33175109145407,24.19284076056228,116.46079379311429,8.235476145607144
2021-08-16,6.115928482491428,22.249691053880476,70.77231112407604,43.8096847653175,138.38625919540473,7.650203941416667
2021-08-23,8.837545502720346,24.19207634039234,81.12340582709577,38.0463936545855,209.80246180885715,6.9010822570386905
2021-08-30,10.33451386776372,24.438094221755904,78.40185258885485,60.95805977115476,7.840172535392857,6.6486879313190475
2021-09-06,7.25938912293913,21.065808777268572,70.10236733048683,53.30634961234627,3.9062415889387756,5.727938272747619
2021-09-13,14.771447148281666,22.0539729022676,72.22975830566865,54.51071087936337,6.130374025551021,5.154889823413691
2021-09-20,8.688320195732654,21.65607015158542,71.65851171084324,54.178919685160714,59.22834575868571,6.927256294057143
2021-09-27,7.4235059605484475,17.49284090691149,71.5682658653871,52.84429216769951,42.21784776620408,5.089235093821428
2021-10-04,4.991062781980571,18.89796938088095,81.07787570748523,35.65343007582267,17.986722147,5.762733487708333
2021-10-11,6.581822542176667,19.762962738381052,95.65473350032461,20.221915935094987,16.12892791009524,3.8529656089732143
2021-10-18,5.387783345965476,21.563332838984476,119.1268935790062,27.09488451641039,9.595759001714285,4.659690747612245
2021-10-25,5.362216364768959,13.566257143858385,144.0410236301821,38.20591913458045,5.310583748020408,4.475727555830357
2021-11-01,9.2438712419023,16.460300365177847,145.32123888394008,27.635930500780358,3.0202245737142857,4.315829355754465
2021-11-08,7.246293405249999,14.826600866277433,152.22598379432432,76.83922688995726,5.170325226857143,5.466966672389286
2021-11-15,4.684112298200618,13.02636639362639,161.24519396991053,52.80264742646241,4.542619164047619,4.9471071056178575
2021-11-22,1.0084644748597222,12.807660083975778,159.61385027380214,14.18630428134249,4.465281956261904,5.41904690092517
2021-11-29,1.582944534586111,11.48913175990129,175.6704418643176,61.16074221527793,2.721575919836735,4.924077890412501
2021-12-06,3.1419695388707485,10.90557987985625,158.84470741981485,36.82975263344819,4.287231281885714,4.512617058845238
2021-12-13,6.2500484661163425,10.10838411825736,152.51825173624735,25.213935099061146,3.783041046952381,4.913035603556548
2021-12-20,6.454656753033333,8.300291433990179,207.53833268450953,46.53140751507823,12.36954699122449,7.02971133744898
2021-12-27,13.754987551416667,11.437432380222225,388.56795997793046,50.10754838192634,111.09646636007143,16.81465682103214
2022-01-03,5.249544691023148,28.48425820193182,616.8782146584175,213.878857254579,45.199494514571434,42.84406740120919
2022-01-10,4.616319867651667,59.82925758923519,639.6995167908877,270.2920749014807,57.006542130619046,80.9913174225
2022-01-17,10.466781244244737,92.30871483769943,732.2913364284448,242.2756700151967,49.225420349160714,97.86613011996428
2022-01-24,5.3060510367942175,115.47809087521142,835.0947403263518,141.1593297012014,107.18655280134286,87.36025207526785
2022-01-31,5.1901274832366076,118.27045787864428,796.3755852610063,272.32248453775395,161.43050996145715,71.14802306610119
2022-02-07,9.692291961093407,97.76473033186758,771.943820249954,97.32477586508617,233.65244679383673,53.941175751133926
2022-02-14,3.39464312067803,56.52061068497448,715.881533688077,105.29493072068857,184.8041104084898,42.31018331152083
2022-02-21,1.6364093774428572,35.60955849477,653.7869057584021,43.97017367481633,111.2588488354694,34.631308092816326
