week,AFR,AMR,EMR,EUR,SEAR,WPR
2020-12-14,-7.715744160385109e-07,4.226122043250523,0.3756161756558289,9.599956713829632,-0.0024526039678598958,3.0927507058680686
2020-12-21,0.6032328309044328,14.50321366687084,2.979471798280777,29.472214801701192,0.764891276001515,9.368519852446912
2020-12-28,0.6829468942714086,15.716386112474169,3.2842466445193668,31.831602521528406,0.8682447742973982,10.124964823535553
2021-01-04,0.840985232854183,18.112502044404756,3.887648848627607,36.48883229972748,1.0731526507888518,11.618002828001625
2021-01-11,1.2934502594994002,19.603916255932475,5.15304390339415,37.70629733773708,1.6584383849805324,11.90231570479449
2021-01-18,1.1244358190448003,18.161414545349015,4.5984463130974005,35.27297287365313,1.4398041098274033,11.142916512026972
2021-01-25,0.9018471160042227,15.110070656378074,3.7705633214107532,29.460996205298244,1.1515913973194998,9.286481276360954
2021-02-01,0.3734195903533585,10.954854119443002,2.096147548205177,22.55590532125781,0.4669419609496115,7.150406124032328
2021-02-08,0.6663157872259705,10.476898212521778,2.701221155716227,20.295861705519552,0.8518900897233876,6.375456124684335
2021-02-15,0.6811133188536926,11.087283762263633,2.8189204457739403,21.54268252001218,0.8690270439165196,6.7649630790289095
2021-02-22,0.8046945642129989,11.343628614865628,3.0445280948507527,21.75998952296222,1.0372329120959203,6.8748496066974685
2021-03-01,0.8855374683392436,12.59719813538496,3.3627398242238966,24.19080124097917,1.141479025906351,7.64941434079785
2021-03-08,1.0397735133792085,14.15867730642667,3.885719908337564,26.96916685382,1.341516767171531,8.531871928767972
2021-03-15,1.282497044491053,14.993928985442823,4.478082410778549,27.886117532275627,1.6626381221257873,8.832904406308577
2021-03-22,1.3848723942056977,18.265180612568717,5.117169003772508,34.564233614869465,1.788172285345996,10.945128475393314
2021-03-29,2.0781267908119676,25.099199992283342,7.368841422868861,46.84326194365563,2.692806543991297,14.874809122284097
2021-04-05,1.8565285646542915,24.364479936319547,6.8412104689804565,46.04665933259838,2.398782932923769,14.605948998041113
2021-04-12,1.6630850349978603,19.88031421221374,5.86373542120554,37.07739910722356,2.155528557208541,11.763935252799147
2021-04-19,1.8520902866263516,22.48586813920769,6.567921999238363,42.04572256403677,2.4002570783829102,13.351094409505967
2021-04-26,1.4472635398043618,17.078352553343326,5.074396299436124,31.797479755702682,1.8760763426563387,10.079864926831261
2021-05-03,1.3753704766644907,16.28704656817283,4.824017341306057,30.359620269570755,1.782966418952346,9.623637665961565
2021-05-10,1.355743602615725,16.84438577897461,4.823939749536355,31.714213419616446,1.7574509495028214,10.069603791595469
2021-05-17,1.5460677748491343,16.38432256990376,5.273354551959705,29.70623128362959,2.003817869296783,9.382543542980272
2021-05-24,1.3358020623780797,12.924270985159668,4.443698031911154,22.897788062134705,1.7315505159887623,7.2004577881055
2021-05-31,1.2146741017496145,10.445730217536193,3.7804561210570955,18.079488268722574,1.5889140533409964,5.814843950673343
2021-06-07,1.05252857979665,7.8018568051812816,3.142937330302162,12.883900002890119,1.3789438643435603,4.149925846498264
2021-06-14,0.9745409086668779,6.53041060854679,2.8363239471764423,10.38538186268207,1.2779538195255749,3.34928274754163
2021-06-21,0.9355432057491443,5.890396994105534,2.682607000296739,9.126494471675134,1.2274560290148424,2.945832371886954
2021-06-28,1.0553417522012114,7.85969403050459,3.1551150265370844,13.00094894541567,1.3825805504336384,4.187558047154212
2021-07-05,1.3002236098550652,11.88487960301848,4.120947853772486,20.920143469690878,1.6996729551393728,6.72558226876194
2021-07-12,1.7740732812280506,19.670631949990867,5.989564794420042,36.2370638485925,2.3132525102618664,11.634473231106739
2021-07-19,1.7634066406537652,25.875021442240687,6.500633757234977,50.306388231947864,2.3000198531642844,16.25115423291344
2021-07-26,1.8762381258225544,25.83522041782573,6.757420632717196,49.771966517806824,2.446443739795371,16.031963150017756
2021-08-02,1.6566240366606464,22.40673222341014,5.909843651848823,43.07805198411276,2.1617291698002847,13.884685835843424
2021-08-09,1.6865363256400356,22.86163592555939,6.024178248030016,43.962651339051625,2.2005121373438388,14.168293470374339
2021-08-16,2.7091007839179846,34.99777785565006,9.673461512249649,66.37999790367171,3.524021204911314,21.294547124113805
2021-08-23,2.027218335311533,30.412554939639392,7.5533355958168755,59.30686964436267,2.6419480910313284,19.140220195947048
2021-08-30,2.0011738079590087,29.45897221058592,7.435844959701535,57.22890451277776,2.6052719177959345,18.433242228943897
2021-09-06,2.2490607704400203,30.568698455517396,8.22840728726947,58.43972216382074,2.9190113953509234,18.691769529917906
2021-09-13,2.1142282549607114,31.479412829426725,7.868680546390858,61.28675909909306,2.754450280385896,19.769760714132243
2021-09-20,2.1552443123350544,32.083214803481056,8.023624137125607,62.45483574953052,2.807636025436548,20.143988460538687
2021-09-27,2.1213863172443546,31.558881995633215,7.8933421867964855,61.43236242663055,2.7637401484357023,19.81605323863508
2021-10-04,1.861943778151823,28.409833249683636,6.962613516351932,55.58406931338939,2.427844593822223,17.95460728805074
2021-10-11,1.1231751472737765,18.53946561530426,4.231074514953857,36.89977410912494,1.4714113362620227,11.987299538052538
2021-10-18,1.3210858908931893,21.385790200424054,4.984919178230169,42.34478538565666,1.7275157335005438,13.732270877941753
2021-10-25,1.6490290546284259,23.997737122466834,6.187723099624002,46.41817300235322,2.13826460176104,14.846209992256332
2021-11-01,1.4160719430026534,20.25028138317437,5.279444180900144,39.067067930726054,1.836200390464001,12.485812268100018
2021-11-08,1.7209241567824767,25.09635395484147,6.4630112970507305,48.556120552537195,2.231479026594055,15.531717458965849
