date,Africa,Asia,Europe,North America,Oceania,South America
2020-12-19,0.0,30.659797702656398,-0.0,-0.0,0.0,-0.0
2020-12-20,0.0,20.74014628683894,-0.0,-0.0,0.0,-0.0
2020-12-21,0.0,33.98831852036838,-0.0,-0.0,0.0,-0.0
2020-12-22,-0.003669507506916578,42.136453369312974,-0.0,16.872328367156065,-0.010373219079901286,-0.2994583392469623
2020-12-23,-0.0036650074809515595,47.84885876776831,-0.0,16.068780244869203,-0.010364114341314741,-0.2993485004541415
2020-12-24,-0.0036699747717234632,44.080826968196625,-0.0,15.592087714363357,-0.010374167071744746,-0.2994699289600574
2020-12-25,-0.0036665143571690878,44.212721081985265,-0.0,17.263956524180298,-0.010367161388799048,-0.29938515572139646
2020-12-26,-0.003667280811638877,43.72935573078657,-0.0,17.137713943320854,-0.01036871262829469,-0.2994038993047875
2020-12-27,-0.25395985269764537,17.974008484492337,257.61398838368626,0.10749344612124112,-0.5402603572904038,-8.4802585425843
2020-12-28,-0.3299245766607994,24.37842021123206,208.11146437953028,7.4981554685094025,-0.7006724556935173,-10.925308589266045
2020-12-29,-0.37737782388966506,44.44225036912814,135.8030843537302,0.0,-0.7997678277256217,15.545836512154336
2020-12-30,-0.3698088351937054,45.97556731682948,189.4805064968553,0.0,-0.7838691329922426,15.504917185765771
2020-12-31,-0.4120946931108345,46.77487733272331,11.347369581147277,0.0,-0.8731805644742725,1.8621999491232177
2021-01-01,-0.3306094990610987,49.956064704333556,70.65153931473782,5.791550990766137,-0.7021186776743035,-3.4112118299146132
2021-01-02,-0.14463519466608682,60.31917070789822,-0.0,16.05799357634372,-0.3056133189465866,11.139357529481293
2021-01-03,-0.36641929683181856,30.294528621749162,169.62333968943406,4.462766579661608,-0.7777447901287061,-0.054263315809658146
2021-01-04,-0.47196658616516446,37.46396230719348,135.60769370158496,0.31725104215105304,-0.9984164222183651,15.770112797465659
2021-01-05,-0.45839001985549827,73.12497377946671,122.52899933203496,0.08255009574940075,-0.9697432898298768,17.00245968444673
2021-01-06,-0.4891512848365439,69.64948019929287,133.36801095166743,0.8574501104477505,-1.0347070878422553,14.758721142031064
2021-01-07,-0.47904201466970675,66.18615383131072,2.6469659257419877,0.0,-1.013965879320048,16.06166320680578
2021-01-08,-0.5068670494777854,62.7060082128539,37.4523186780495,1.3434929779431855,-1.0721158238596664,12.798974746408689
2021-01-09,-0.38266639319711493,73.53269606225406,0.0,6.22359064946499,-0.8094543707227387,6.164730049197782
2021-01-10,-0.4147264834643462,38.935049580846695,115.86002336370458,5.892650376379461,-0.8786627512704084,-0.0
2021-01-11,-0.5090035762371644,54.8382416641474,121.90820281798483,2.0136178762373476,-1.076627524782847,13.602295780324347
2021-01-12,-0.501660834525126,85.61015187708954,104.6890239608256,1.4156434111868954,-1.0611227244144503,13.047968952359813
2021-01-13,-0.4405276899438869,83.35634911053204,130.43964784226685,0.0,-0.932494346654776,8.160158705849073
2021-01-14,-0.3442605878865401,89.59847569037485,0.0,2.4771699344277778,-0.7281678930424605,11.143764292380185
2021-01-15,-0.4420490022342078,83.32548260589803,35.56233154479203,0.0,-0.9356499078329706,8.912353831007316
2021-01-16,-0.24323265197759206,82.5639795713594,-0.0,7.226199958297256,-0.5143192479422086,12.963027053247187
2021-01-17,-0.3845817607692005,15.067500671851874,68.93428918517583,0.05562220596930167,-0.8152770936693182,0.0
2021-01-18,-0.36671621707234753,20.86266657862169,60.40777328888353,0.0,-0.777370618093185,13.404396337134793
2021-01-19,-0.3066371927770759,44.40461865285327,67.26865229296882,-1.367552326762862,-0.651885345007612,13.784893554405624
2021-01-20,-0.3557078084425066,33.48151198741168,62.94056642251314,-0.0,-0.7543100357114931,10.904124523616066
2021-01-21,-0.23046118156245615,82.38403575185983,-0.0,4.283911619138214,-0.48729204227976974,15.90952030161441
2021-01-22,-0.350955857327497,64.6842501680008,28.740611514270167,-0.0,-0.7443003123231603,15.413654948081561
2021-01-23,-0.21713868103369643,34.84960123972198,-0.0,5.6380612287714325,-0.4590909940118639,11.739990738493567
2021-01-24,-0.34649094737360037,2.876870289991638,64.14119984328417,-0.0,-0.7354825979428297,0.19104967251430516
2021-01-25,-0.31087849974175685,19.308680824292342,54.85969271717156,-1.322042293596784,-0.6608410125274546,14.637959653759657
2021-01-26,-0.3010848881099404,36.800424866987434,67.81388752908614,-3.6361725631163484,-0.6401614717729828,12.387100083842057
2021-01-27,-0.3198707341601364,30.573166198126017,71.79624676091198,-0.0,-0.6793900620649149,9.292646296805366
2021-01-28,-0.21641934647057773,36.17216088379869,-0.0,3.216204917041402,-0.4575740076518521,12.44126934359846
2021-01-29,-0.31249773083175786,28.23588144976263,26.477110666062856,-1.5754782523567066,-0.6642601189931683,10.457679761755703
2021-01-30,-0.19499033628581897,31.90033310179628,-0.0,4.011747969693118,-0.4122144887291837,11.566891683451608
2021-01-31,-0.3004252507359712,3.3265162715183063,64.45356157683054,-1.4637738473254824,-0.6387689471528433,5.256182439971923
2021-02-01,-0.3033971748303288,17.361819677770708,63.1264605609502,-2.9346618332156957,-0.6450439501398737,11.030373496321687
2021-02-02,-0.29704451622597067,37.79829028430369,61.69921097594779,-5.0731871992178075,-0.6316301023905557,9.70905957668155
2021-02-03,-0.272866440267053,34.11354302375808,62.05158663808268,-4.573549231108475,-0.5805770426147951,3.313721258448334
2021-02-04,-0.19400655192509023,34.321678634717784,0.0,-1.240514909945758,-0.4139366391426387,5.920694597348718
